Timestamp(ms),CO_PPM,Temperature(C),Pressure(hPa),Altitude(m),Status
134457,2.92,21.51,992.07,177.82,Safe
136477,2.92,21.50,992.07,177.83,Safe
138497,3.05,21.50,992.07,177.85,Safe
140517,2.92,21.50,992.07,177.82,Safe
142537,3.05,21.50,992.08,177.80,Safe
144557,2.80,21.49,992.07,177.86,Safe
3145,3.71,20.28,1002.57,40.02,89.32,Safe
5163,3.44,20.33,1002.58,40.08,89.20,Safe
7181,3.44,20.33,1002.58,40.11,89.19,Safe
9199,3.31,20.32,1002.59,40.11,89.17,Safe
11217,3.18,20.32,1002.59,40.09,89.17,Safe
13235,3.18,20.32,1002.59,40.00,89.14,Safe
15253,3.05,20.32,1002.59,40.00,89.11,Safe
17271,3.05,20.32,1002.59,41.41,89.09,Safe
19289,2.92,20.32,1002.60,40.85,89.07,Safe
21307,2.80,20.33,1002.60,40.75,89.04,Safe
23325,2.80,20.33,1002.61,40.78,89.00,Safe
25343,2.67,20.33,1002.61,40.85,89.00,Safe
27363,2.67,20.33,1002.60,40.53,89.02,Safe
29381,2.55,20.34,1002.61,40.38,88.99,Safe
31399,2.55,20.34,1002.61,40.32,89.00,Safe
33417,2.43,20.34,1002.61,40.19,88.99,Safe
35435,2.43,20.34,1002.60,40.11,89.02,Safe
37453,2.43,20.35,1002.60,40.09,89.02,Safe
39471,2.43,20.35,1002.61,40.05,89.00,Safe
41489,2.43,20.35,1002.61,39.99,89.00,Safe
43507,2.43,20.35,1002.60,39.94,89.02,Safe
45525,2.43,20.35,1002.61,39.93,89.00,Safe
47543,2.43,20.35,1002.61,39.94,88.99,Safe
49561,2.32,20.35,1002.61,39.97,88.99,Safe
51581,2.32,20.35,1002.61,39.98,88.99,Safe
53599,2.32,20.35,1002.61,39.97,88.99,Safe
55617,2.32,20.35,1002.60,39.98,89.01,Safe
57635,2.32,20.35,1002.60,40.01,89.01,Safe
59653,2.32,20.35,1002.60,39.97,89.01,Safe
61671,2.32,20.35,1002.61,39.96,88.98,Safe
63689,2.67,20.35,1002.61,44.45,88.94,Safe
65707,2.55,20.35,1002.62,43.40,88.88,Safe
67725,2.67,20.36,1002.63,43.13,88.80,Safe
69743,2.67,20.36,1002.63,42.94,88.78,Safe
